,url,property_name,city,rent_updated,n_bed,n_bath,sq_ft_updated,walkscore,allow_pet,minimum_lease,onsite_parking,pool,fitness_center,elevator,kitchen_features,security_system,washer_dryer,internet,air_conditioning,furnished,rent_range,sq_ft_range
1221,https://www.apartments.com/wilshire-la-brea-los-angeles-ca/xhv93zq/,Wilshire La Brea,Los Angeles,3999.0,2,2.0,1337.0,95.0,1,12,0,1,1,0,1,1,1,0,1,0,0,0
1222,https://www.apartments.com/wilshire-la-brea-los-angeles-ca/xhv93zq/,Wilshire La Brea,Los Angeles,3432.0,2,2.0,1130.0,95.0,1,12,0,1,1,0,1,1,1,0,1,0,0,0
1233,https://www.apartments.com/alessio-los-angeles-ca/gpv6d1z/,Alessio,Los Angeles,2913.0,2,2.0,1173.0,63.0,1,12,0,1,1,1,3,1,1,1,1,0,0,0
1235,https://www.apartments.com/wallace-on-sunset-los-angeles-ca/z0112cy/,Wallace on Sunset,Los Angeles,2500.0,0,1.0,600.0,98.0,1,12,0,1,1,1,8,1,1,1,1,0,0,0
1238,https://www.apartments.com/wallace-on-sunset-los-angeles-ca/z0112cy/,Wallace on Sunset,Los Angeles,3006.0,1,1.0,757.0,98.0,1,12,0,1,1,1,8,1,1,1,1,0,0,0
1239,https://www.apartments.com/wallace-on-sunset-los-angeles-ca/z0112cy/,Wallace on Sunset,Los Angeles,2867.0,1,1.0,753.0,98.0,1,12,0,1,1,1,8,1,1,1,1,0,0,0
1240,https://www.apartments.com/wallace-on-sunset-los-angeles-ca/z0112cy/,Wallace on Sunset,Los Angeles,2594.0,1,1.0,662.0,98.0,1,12,0,1,1,1,8,1,1,1,1,0,0,0
1241,https://www.apartments.com/wallace-on-sunset-los-angeles-ca/z0112cy/,Wallace on Sunset,Los Angeles,3703.0,2,2.0,1091.0,98.0,1,12,0,1,1,1,8,1,1,1,1,0,0,0
1251,https://www.apartments.com/essex-properties-at-miracle-mile-los-angeles-ca/yyd2njr/,Essex Properties at Miracle Mile,Los Angeles,2731.0,2,2.0,1027.0,93.0,1,12,0,1,1,1,1,1,0,0,1,0,0,0
1252,https://www.apartments.com/the-landing-at-jack-london-square-oakland-ca/4bzhhtk/,The Landing at Jack London Square,Oakland,2199.0,0,1.0,553.0,91.0,1,12,0,1,1,0,2,1,1,0,0,0,0,0
1254,https://www.apartments.com/the-landing-at-jack-london-square-oakland-ca/4bzhhtk/,The Landing at Jack London Square,Oakland,2787.0,2,2.0,1052.0,91.0,1,12,0,1,1,0,2,1,1,0,0,0,0,0
1257,https://www.apartments.com/fourth-and-u-berkeley-ca/yly535s/,Fourth and U,Berkeley,2413.0,1,1.0,738.0,94.0,1,12,0,0,1,1,2,1,1,0,0,0,0,0
1259,https://www.apartments.com/the-grand-oakland-ca/dewfhwh/,The Grand,Oakland,2288.0,0,1.0,561.0,97.0,1,12,0,0,1,1,2,1,1,0,0,0,0,0
1260,https://www.apartments.com/the-grand-oakland-ca/dewfhwh/,The Grand,Oakland,2332.0,1,1.0,780.0,97.0,1,12,0,0,1,1,2,1,1,0,0,0,0,0
1262,https://www.apartments.com/the-grand-oakland-ca/dewfhwh/,The Grand,Oakland,2437.0,1,1.5,1025.0,97.0,1,12,0,0,1,1,2,1,1,0,0,0,0,0
1263,https://www.apartments.com/the-grand-oakland-ca/dewfhwh/,The Grand,Oakland,2517.0,1,1.0,724.0,97.0,1,12,0,0,1,1,2,1,1,0,0,0,0,0
1264,https://www.apartments.com/the-grand-oakland-ca/dewfhwh/,The Grand,Oakland,4593.0,2,2.0,1141.0,97.0,1,12,0,0,1,1,2,1,1,0,0,0,0,0
1265,https://www.apartments.com/the-grand-oakland-ca/dewfhwh/,The Grand,Oakland,3793.0,2,2.0,1100.0,97.0,1,12,0,0,1,1,2,1,1,0,0,0,0,0
1266,https://www.apartments.com/the-grand-oakland-ca/dewfhwh/,The Grand,Oakland,4593.0,2,2.0,1183.0,97.0,1,12,0,0,1,1,2,1,1,0,0,0,0,0
1267,https://www.apartments.com/avenue-64-emeryville-ca/kr6sjf8/,Avenue 64,Emeryville,2185.0,0,1.0,553.0,74.0,1,12,0,1,1,1,2,1,1,0,0,0,0,0
